,index,comment,n_star,date_time,label,positive_count,neutral_count,negative_count
21,21,sạc pin 100 r k 10h k hao nào s mọi người kêu hao pin nhanh s nhỉ mình thasy pin trâu lun,5,2020-01-07,Positive,1,0,0
22,22,mình hỏi tắt quảng_cáo điện_thoại ạ mới mua về vài hôm nó tụ phát quảng_cáo hoài ngày mình khoá màn_hình chạy quảng_cáo mong phản_hồi,5,2020-05-01,Negative,0,0,1
23,23,tất mọi thứ ổn hết màn_hình đẹp máy chạy êm pin sạc nhanh màu mặt lưng đẹp tiết ở phần thiết_kế chi loa ngoài đặt ở bên hông thay đặt ở cạnh tay đè loa sử_dụng í lo chính bản_thân đè quá làm loa hư thêm 1 nhỏ_xíu xiu mới mua hôm giảm 500000đ nay xem tuột xuống đươc giảm hẳn 1000000đ tức ghê,4,2020-01-17,Positive,4,1,1
24,24,điện_thoại thiết_kế sang_trọng cameraa chụp ảnh tốt pin dùng ổn_định máy dùng mượt đơ,5,2018-08-19,Positive,4,0,0
25,25,máy màn_hình lớn nhận_diện khuôn_mặt nhanh trong đk trời sáng cấu_hình tạm ổn tác vụ cơ_bản pin trâu nv tgdd nhiệt_tình còn ctkm tặng tai_nghe tgdd làm tốt mua máy chi_nhánh tai_nghe khg hàng đợi 1015 ngày tgdd rút kinh_nghiệm về ctkm kiểu,5,2019-04-03,Positive,3,2,0
26,26,pin trâu giá rẻ cấu_hình ngon mượt máy chơi game tốt nhân_viên tư_vấn nhiệt_tình,5,2020-04-21,Positive,4,0,0
27,27,mua tương_xứng trong phân khúc chụp ảnh kém mờ pin trâu,1,2020-03-15,Negative,1,1,2
28,28,cập_nhật ổn camera xấu xấu tệ hy_vọng cập_nhật camera tốt hơn bản,3,2019-06-14,Neutral,1,0,1
29,29,mới dùng đc tầm nửa tháng thấy khá ok mượt chơi game mức_độ mặc_định ok pin đc lâu sạc nhanh,5,2020-02-18,Positive,3,0,0
30,30,mình mua máy samsung a20s 4 ngày nói_chung máy xài ổn trong tầm giá pin trâu chơi game xài 2 đến 3 ngày còn chơi game liên_quân tầm 1 ngày chụp hình đẹp máy mượt lâu_lâu cảm_biến vân tay nhạy ngón tay hơi ướt xíu máy nhận vân tay luôn ốp lưng xài hơi xót xíu mình làm trong môi_trường chăn_nuôi bụi cám kia,5,2019-10-24,Positive,4,1,2
31,31,sao thoảng tôi mở máy đợi 510s màn_hình mới nó làm tôi thấy khó_chịu còn ok,4,2020-07-05,Neutral,1,0,1
32,32,iphone luôn ổn_định thiết_kế mới lỗi_thời mình cầm con iphone nào mình nghĩ pin nó đủ xài trong ngày bạn nào bảo pin nó yếu một ngày xài quá thôi thích iphone lâu tội tài_chính eo_hẹp tich góp cuối năm rước một e zìa quê luôn,5,2017-05-28,Positive,2,2,0
33,33,mua đag dùng thất_vọng camera mờ hay nổi quảng cáopin xuống rraats nhanh khuyên mọi người đừng mua,1,2020-02-22,Negative,0,0,4
34,34,lỗi lưu ảnh viền 4 góc sáng khá bực mong xiaomi việt_nam sớm cách khắc_phục,1,2020-04-19,Negative,0,1,2
35,35,tôi nghĩ nó 4 star 12tr tầm giá rẻ rách đường truyền chập_chờn nó tôi đánh_giá 5 star,4,2019-12-25,Neutral,1,0,1
36,36,máy dùng ok cài khóa mk vân tay khuôn_mặt mở ko vuốt mở đc còn ổn bluetooth bình_thường pin lâu nhạc hay,4,2020-01-23,Positive,2,1,0
37,37,tgdd tôi còn tin_tưởng một hệ_thống bán_lẻ điện_thoại lớn nhất vn tôi mới mua cửa_hàng số 473 đường_kính dương vương làm tôi quá thất_vọng cảm_giấc mình lừa thất_vọng vô luôn chắc chuyển hệ_thống khác thôi,1,2020-04-21,Negative,0,0,1
38,38,máy chs game khá mượtpin trâu mọi vấn_đề ok sản_phẩm trong tầm giá quá tuyệt_vời,5,2020-06-19,Positive,3,1,0
39,39,điện_thoại đẹp màn_hình rõ nghe gọi ok chụp hình đẹp giá tầm quá ok nhân_viên tgdd thoại_sơn an giang cực_kỳ dễ_thương luôn,5,2020-01-25,Positive,6,0,0
40,40,xài ok máy mượt chụp ảnh đẹp sạc nhanh sao bạn chê tào_lao quá pin 4k xài 1 ngày tốt,5,2019-12-21,Positive,4,0,0
41,41,s20 ultra mức giá bằng oppo find x2 mua find x2 oppo hơn hẳn con ultra về cấu_hình màn_hình pin tốc_độ sạc ultra hơn về chụp ảnh thôi còn oppo find x2 max mượt max phê,4,2020-10-06,Negative,1,0,4
42,42,máy mới mua về xài 10 bựa tự_tiện đo treo logo 10p mới khỏi ding tính_năng chụp màn_hình nứt nguồn giảm âm_lượng chụp,1,2020-01-22,Negative,0,0,2
43,43,1 tuần sử_dụng mình đánh_giá về camera thấy bình_thường cam truớc tốt lắm cấu_hình bằng con vsmart 5tr máy đẹp nhẹ mỏng pin tạm ngày sạc pin 1 lần bạn nào mua màn đẹp vs camera mua còn mua chơi game ko lựa,4,2020-01-04,Positive,2,2,1
44,44,sản_phẩm tai_nghe hả bạn mình mua bên tgdd noi la_k tai_nghe đúng k ạ,1,2020-02-29,Negative,0,0,0
45,45,sản_phẩm đẹp tuyệt_vời hi_vọng trong qtrinh sd k xảy lỗi nv nhiệt_tình ms,5,2019-09-16,Positive,2,0,0
46,46,mua lâu vân tay quá kém dí mãi mới mở đc chơi game vd liên_quân cảm_ứng ko nhạy kém máy nóng thỉnh_thoảng đơ 1 tý ko mạng hay fpslúc chơi loa ngoài chơi game khá nhỏ bạn nào hay chô game chọn con khác con sang chảnh đc,1,2019-07-10,Negative,1,0,2
47,47,máy okmượtchơi game quá đỉnhcó pin hơi tụt okvừa vs túi_tiền ok,5,2019-04-17,Positive,2,1,1
48,48,note10 bin tệ máy ko xài tuột phần_trăm sạt đầy 100 pin ko xài ság tới tối về nhìn còn 40 60 pin kia ko làm dì sao mất nhỉ máy mua dk 1 tuần pin tệ,1,2019-01-09,Negative,0,0,1
49,49,mình mua dùng chơi game khỏi nói còn về xem phim youtube bật sd mờ điện_thoại khác bật sd,5,2019-12-23,Neutral,1,0,1
50,50,máy xịn thứ nhất chơi game mượt chíp snap thứ hai pin trâu xài ngày còn 50 thư ba màn_hình đẹp chụp hình sáng,5,2020-01-31,Positive,5,0,0
51,51,sp tuyệt_vời chắt mua em nó quá chán hàng made in china người việt dùng hàng việt,5,2020-04-21,Positive,2,0,0
52,52,mình mới mua hồi chiều minh vo cài_đặt tìm ram thấy mình hỏi ram nó nằm ở đâu,5,2020-08-14,Negative,0,0,0
53,53,mọi thứ xài khá ok pin tuột nhanh kinh_khủng xài tuột 100 chực 5p còn 95 ý game,1,2020-08-02,Neutral,1,0,1
54,54,thấy mọi người đánh_giá lỗi phần_mềm bạn mua máy phần_mềm cập_nhật mình mua máy một tháng dùng ok một lỗi nào xiaomi update phần_mềm fix lỗi hết bạn yên_tâm mua nhé,5,2020-07-29,Positive,2,0,0
55,55,dùng tạm tạm camera quá tệ phần_mềm cài ứng_dụng mặc_định vinid mua sắmquá mua điện_thoại dùng cá_nhân mua điện_thoại vinmart quảng_cáo giá rẻ đáng bỏ tiền mua,1,2020-07-01,Negative,0,1,4
56,56,máy mượt pin trâu xạc pin nó ấm ấm z nguy_hiểm_ad ngoài tốt,5,2020-03-24,Positive,2,1,0
57,57,e hỏi máy mua một năm r dạo gần pin hay tụt nhanh lắmgiúp em cách khác phục,5,2020-07-20,Negative,0,0,1
58,58,sản_phẩm xài tốt 2 tháng thấy lỗi nào xài tốt chơi pubg call ò duty mobile max seettings ko gật lag nào hết,5,2019-10-21,Positive,2,0,0
59,59,mới mua đc 15 ngày xài tạm ổn pin tụt nhanh máy sạc nóngmới mua máy nóng còn ổn,3,2020-04-21,Neutral,1,0,1
60,60,pin sạc 3 tiếng 15100 pin trâu camera chụp hình khá đẹp trong kiện sáng tốt chế_độ chụp cảnh buổi tối khá tốt cảm_biến vân tay nhạy thao_tác xem phim nghe nhạc lướt web mượt quay_phim chống rung tốt loa đủ nghe ấm màn_hình hiển nét mình k biết rổ hay đánh_giá 2 ngày mình sử_dụng điện_thoại tốt trong tầm giá 3 triệu đòi_hỏi về game hay thao_tác nặng hơn,5,2020-03-18,Positive,5,1,0
61,61,good máy dùng mượt pin hơi kém tí nói_chung ok nhân_viên nhiệt_tình thanks thế_giới di_động,5,2019-02-11,Positive,3,0,1
62,62,quá thất_vọng mời mua 2 ngày xài cảm_giác quá tệ luôn thua con j7pro mua năm 2017 pin nhanh hết zalo fb thôi xài 1 buổi bình_thường hết 50 pin còn bắt sóng wifi 3g kém chat zalo nhận tin hoặc lâu mới nhận còn kiểu_dáng camera tốc_độ ok đề_nghị samsung xem,2,2020-03-01,Neutral,3,0,3
63,63,sản_phẩm tốt chơi game tốt pin trâu tội ứng_dụng máy dính quảng_cáo quá trong phần cài_đặt quảng_cáo gg chèn,5,2020-02-28,Positive,2,1,0
64,64,sai_lầm mua đt ghê ă nghe nv tư_vấn xoq mua lun về xem cấu_hình mới thấy chán tầm giá màn_hình mức hd sử sụng chip yếu chơi game giật liên_tục,2,2020-03-29,Negative,0,1,3
65,65,mình mới mua điện 3 gb màu tím mức giá thế bạn mua một bản_thân chơi game mượt loa tốt wifi ổn tác vụ bình_thường ok,5,2020-06-27,Positive,3,0,0
66,66,thiết_kế đẹp giá_thành chất_lượng cực ổn mình đi du_lịch cầm con selfie ưng_ý,5,2019-12-16,Positive,3,1,0
67,67,sao mình sài đc 1 tháng hư lỗ cắm tai_nghe gọi người khác màn_hình tắt,3,2020-12-06,Negative,0,1,1
68,68,mua máy dc 1 tuần đối 6 triệu máy quá ok mọi thứ hoạt_động mượt đặc_biệt pin trâu xài 2 ngày mới sạc pin mình dùng toàn 3g k dùng wifi ít chơi game facebook zalo youtube thỉnh_thoảng xem phim đến tối muốn hết pin sạc k hết dc xứng_đáng số tiền bỏ,5,2020-09-04,Positive,4,0,0
69,69,điện_thoại tin nhắn tới lâu_lâu nghe nó rè rè âm thâm tin nhắn đè_nén đi,4,2020-06-22,Negative,0,0,1
70,70,ứng_dụng văn_phòng chán đặc_biệt ng sử dunbj email làm mình còn chơi game vs lướt web chấp_nhận đc pin khoẻ,3,2020-05-25,Neutral,1,0,1
71,71,khá ok ngon về mọi thứ màn mượtpin khỏe sạc maxx sướngcảm giác phê lòi hơn hẳn ss về mọi mặthehe,5,2020-04-21,Positive,4,0,0
72,72,hên ghê mua em giảm 700k giá ưu_đãi 2tr990 mua 2 ốp lưng giá 90kthêm khách_hàng thân_thiết giảm thêm 150k tậu luôn tai phone nói nói thấy máy chạy mượt sao bạn chê mình chơi game quá ok nhân_viên nhiệt tìnhvui_vẻ,5,2020-08-17,Positive,4,0,0
73,73,mới mua cách đay mấy ngày thật tệ load hình quá chậm nhảy màn hinhloa nghe nhạc nhỏ,1,2020-03-04,Negative,0,0,3
74,74,máy dùng tạm dùng quen ip sáng máy ko ưng về cảm_ứng chất_lượng video xem gây nhức mắt pin khoẻ dùng buổi sáng hết 8,3,2019-10-12,Negative,1,1,2
75,75,đánh_giá 1 năm sử_dụng chơi game cực pin trâusạc nhanhhiệu năng tốt chụp ảnh ở mức bình_thường đủ dùng làm k dùng sống ảo hay chụp chuyên_nghiệp update phần_mềm thường_xuyên nhược_điểm lớn nhất phần thiết_kế camera lồi quá xước màn_hình siêu bền gorillas 3 ghét nhất ở máy wifi hay lag kết đáng mua trong tầm giá,4,2020-06-20,Positive,4,2,2
76,76,máy bỏ_túi hay chụp màn_hình loạn xì ngầu máy mới loa rè ai giống mình,3,2020-04-21,Negative,0,0,1
77,77,đừng mua ai dự_định mua sản_phẩm xài 12 tháng dấu_hiệu đơ máy cảm_ứng lâu_lâu nhạy nói_chung thất_vọng mua nói kẻo mốt ôm hận,1,2020-04-21,Negative,0,0,3
78,78,sóng_sánh kém lắmgiữa đất thị_trấn đc 23 vạch wifi phòng trong cách khoảng 5m bắt đc 3 vạch gửi đi hãng thẩm_định pin đêm tắt hết ứng dụngmạng sáng dậy tụt 12 chơi liên_quân đôi khựng chútđc màn nét,2,2020-03-07,Negative,1,0,3
79,79,mọi thứ ổn trừ đánh_thức cảm_ứng màn_hình sài nút bấm nguồn,3,2020-07-16,Neutral,1,0,1
80,80,huawei p30 lite sở_hữu màn_hình 615 inch độ phân_giải full hd phần notch kiểu giọt nước tích_hợp chip kirin 710 viên pin dung_lượng 3240 mah hỗ_trợ sạc nhanh 18w trang cụm 3 camera 20 16 2 mp,4,2019-03-19,Neutral,0,6,0
81,81,ok tất tội loa hơi nhỏ 1 tí màn_hình xem phim k mỏi_mắt hình_ảnh k mượt lắm còn chíp antutu đc 288k điểm mạnh hơn hẳn 730g,4,2020-02-19,Neutral,2,0,2
82,82,mình cảm_thấy oppo ko mượt quảng_cáo máy mình sử_dụng lỗi ứng_dụng 15 ngày đổi máy khác chụp hình mặt sưng ko đẹp ko đáng bỏ gần 13 triệu,5,2020-06-20,Negative,0,0,4
83,83,tôi thích sản_phẩm tâm già 8990 khó còn nào nó vẻ ngoài hình lẫn chức_năng,5,2020-08-04,Positive,2,1,0
84,84,pin tuột hơi nhanh đấy lướt fb bật tiết_kiệm pin 10p 90 còn 84 cảm_biến vâng tay tạm thôi chụp hình đẹp k hài_lòng về pin con thôi bù sạc nhanh_đỡ,4,2020-03-02,Neutral,1,2,0
85,85,cảm_nhận mình sử_dụng a70 thật quá tốt mình sợ lỗi nó tham khảm ý_kiến mua thật chê_trách pin trâu màn đẹp xem phim chơi game thích đặc_biệt viền bezel máy mỏng ae nào còn lăng tăng hay tham khảm mình nói thật mua trải nghiệm mới biết máy thế_nào đâu một máy lỗi tất lỗi đâu riêng mình đánh_giá e tốt tầm tiền bỏ nhé,5,2019-03-07,Positive,4,1,0
86,86,máy ok hơi thất_vọng về pin tấm dán màn zin dùng tấm dán film cảm_giác k mượt thái_độ phục_vụ tốt 4,4,2020-06-13,Negative,1,1,1
87,87,máy mới nghe gọi to rõ ok nhân_viên tgdd nhiệt_tình thích máy tuy nghệ gọi đủ chức_năng nghe nhạc to khá hay,5,2020-10-08,Positive,2,0,0
88,88,máy dùng ok pin trâu nhân_viên tư_vấn nhiệt_tình chất_lượng đúng giá_thành,4,2020-12-08,Positive,3,1,0
89,89,quá ngon mọi người ơi ủng_hộ bác vượng đi nào v pin trâu mượt tính_năng thú_vị đặc_biệt trả_lời tin nhắn nhanh wp 10,5,2020-02-19,Positive,4,0,0
90,90,dùng 3 ngày mọi trải nghiệm tuyệt_vời pin ổn màn_hình tốt hề xấu hay rổ duy_nhất khoảng chụp ảnh xóa_phông vật_thể làm tốt chắc thiếu camera tele,4,2019-04-11,Positive,3,0,1
91,91,điện_thoại mọi thứ ổn cảm_biến vân tay pin hơi tệ giá,4,2019-11-20,Negative,1,0,2
92,92,ngày đầu mua về lỗi mở mạng đơ dag nt hoặc xem youtube fb lướt nhảy out ngoài lần ai nói màng amoled đẹp thấy chả đẹp chụp hình tệ xấu nhất gọi video thua xa con oppo f7 nửa ai mua nhu_cầu chụp hình đừng mua dòng bin 4015 bằng 3600 f7 thôi đc sax nhanh đem đi đỗi,3,2020-04-21,Negative,0,1,4
93,93,mới mua hơn 1 tháng màn_hình lỗi 1 chấm xanh màn_hình cảm_ứng hơi đơ loa hơi rè rè mình đến điện_máy xanh bảo_hành màn hìnhquá buồn một giá cao đổi k hài_lòng cảm_thấy hối_hận mua máy,1,2019-11-25,Negative,0,0,4
94,94,máy lỗi kết_nối bluetooth đổi máy mới tình_trạng kết_nối chập_chờn bao_giờ sài samsung ko hài hài_lòng bây_giờ,3,2020-01-17,Negative,0,0,2
95,95,điện_thoại khá tốt pin trâu khá mượt bắt wifi cực tốt thỉnh_thoảng máy đơ thoát máy ko cập_nhật miul 12,4,2020-08-07,Positive,3,1,0
96,96,nghe bảo điện_thoại chơi game nóng mua về chiến liên_quân 3 4h liên_tục thấy ấm nóng lời đồn thứ khác vũng chẳng nói quá ngon,5,2020-04-03,Positive,1,1,0
97,97,1 máy chơi game lướt web ít sử_dụng giữ pin cao nhất khoảng 1 ngày 16 tiếng tính luôn ngủ nhé ngủ chẳng động tới 2 ngày mn nói đâu 2 nhạc nghe cà_giật cà_giật khó_chịu luôn 3 quay video mờ chán còn okie,3,2019-03-12,Negative,1,1,2
98,98,nói_chung khá ổn mức giá nhược_điểm selfie 80 50 k lấy đc nét chuẩn con a5s,3,2020-07-14,Negative,1,1,1
99,99,cam ứng pin hơi mau hết sac nhanh biêt mai_mốt câp nhật nó hết,3,2020-08-14,Negative,0,1,1
100,100,mọi người suy_nghĩ kỹ mua thứ nhất bắt sóng yếu thứ hai camera lâu_lâu lỗi chơi game giật lát ram đa_phần ram ảo áo mọi người nói đâu mua mọi người test cửa_hàng thế_giới di_động chất_lượng mình mong_muốn hãy mua,2,2020-07-18,Negative,0,0,3
101,101,pin trâu xạc nhanh chiến game ngon bắt sóng quá tệ xài rớt xuống mạng e tắt nguồn khởi_động,3,2020-04-21,Positive,2,0,1
102,102,chơi game ở mức ổn_định cấu_hình trung_bình lâu_lâu lag pin xài lâu sạc pin nhanh giá 8 triệu ok,4,2020-02-20,Neutral,1,3,0
103,103,sản_phẩm thiết_kế đẹp giá chính hãng bảo_hành tốt pin dùng ngày đi làm ko hết chụp ảnh đẹp tuyệt_vời,5,2018-07-09,Positive,4,1,0
104,104,k bk bản cập nhập lỗi hay k ngày xài thấy lag dt hôm_nay nt messenger còn lag soạn tin xog chữ dk đánh xog bỏ sô tiền cao mua sản_phẩm thấy thất_vọng quá,2,2020-01-06,Negative,0,0,3
105,105,hai buồn máy ko ý mua 1 tuần pin ko trâu vân tay ko nhạy tuy khóa màn_hình sơ_hở tắt khóa loạn cảm_ứng gọi lung_tung hết tiền phiền haizz sai làm mua con nhân_viên tgdd vui_vẻ nhiệt_tình chê máy ko chê thái_độ phục_vụ,1,2019-12-25,Negative,1,0,3
106,106,sao em mới mua ma tụt pin nhanh vạy sắc pin nhanh pin ko trâu j het xài đc 30 tụt 10phan trăm pin roi,1,2020-08-02,Negative,0,0,1
107,107,loa ngoài lâu_lâu rè biết phần_mềm hay phần_cứng tắt màn_hình mở hết,3,2020-02-02,Negative,0,0,1
108,108,cảm_nhận sử_dụng 5 tháng máy ok tốt pin lâu cấu_hình chơi game ổn 1 camera ko đc tốt xị hếttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt,5,2020-08-14,Positive,3,0,1
109,109,mới_đầu sd thi ổn cảm_ứng chạm giật lác treo máy thường_xuyên gọi zalo ma treo máy nghĩ chán,1,2020-03-18,Negative,0,0,3
110,110,máy đẹp màn to tràn mượt trâu nv nhiệt_tình vó quà tặng galaxy đi ăn lòi mảng họng 4 sao máy mua phụ_huynh,4,2019-12-28,Positive,5,0,0
111,111,minh dung con note lỗi phần chân sac pinnó tích_hợp quá nhiều ứng_dụng công_năng vì_thế thời_tiết ẩm_ướt là ko sạc được pinmới mua máy vài hôm sạc pin vào hỏi ttbh ssnó trả_lời lỗi ro người dùng bị dính nước tư_vấn mình thay cụm chân sạc nếư đồng_ý phải thanh_toán hơn 1tr,1,2020-10-04,Negative,0,0,1
112,112,note 8 pro trừ sài 3g chơi game lag kinh_khủng còn ok hết pin trâu,3,2019-10-27,Positive,2,1,1
113,113,camera quá kém48 chấm ko bằng 16 chấm samsungcòn mọi thứ tốttạm chấp_nhận giá tiền đấy,4,2019-07-19,Negative,1,1,1
114,114,mình dùng 7 tháng đánh_giá khá mượt chơi game ok chức_năng rung báo cuộc gọi bé đút_túi quần k phát_hiện đôi lỗi cuộc_gọi nghe thấy đầu dây kia nói khởi_động tắt chức_năng báo tin nhắn zalo mình tìm khá cách đk,2,2020-06-20,Neutral,1,0,1
115,115,xài một tháng mượt sạc nhanh pin trâu chụp ảnh tạm ổn chơi game kiểu kg nóng nhétóm vô đối trong tầm giá,5,2019-11-29,Positive,3,2,0
116,116,cammera chụp tỷ_lệ 11 hoặc 34 bức ảnh khá ok cấu_hình chạy ổn mượt chơi game hơi nóng máy,5,2019-10-29,Neutral,0,2,0
117,117,giờ mấy biết ai xài con máy vismart hay realme wifi yếu tắt dịch_vụ vị_trí nhé bật max mạnh,5,2020-05-05,Neutral,0,2,0
118,118,máy dùng tốt ổn_định ko lỗi chơi game mượt ổn_định nóng máy nói_chung ai chơi game mua máy camera ok pin trâu sạc nhanh nhân_viên bán nhiệt_tình,5,2020-07-15,Positive,5,0,0
119,119,mình mua con a9 dùng 10tháng nói_chung ok thấy lỗi mình ít chơi game,4,2020-07-28,Positive,1,0,0
120,120,mình mua thật mượt lắm camera đẹp góc rộng mình mua bản màu xanh đối vs con chip exynos 9611 nhà samsung ổn pin 4000 mah mình xài xuyên suốt gần 2 ngày,5,2020-03-23,Positive,3,1,0
121,121,về cấu_hình quá tốt tầm giá nàynhưng điểm trừ ở kiểu_dáng kém mạnh mẽnếu apple làm gốc cạnh iphone 5 se quá đẹp rồihơi tiếc,4,2020-08-07,Negative,1,1,1
122,122,mới mua hồi tối mình cảm_thấy sản_phẩm hình đẹp game mượt pin ok bắt song 4g hơi kém dù mình ở tp,5,2020-05-08,Positive,3,0,1
123,123,pin tệ luôn xài kiểm_tra k ứng_dụng ngầm tới chiều còn 20 uổng_phí mua nhân_viên tư_vấn nói xài lâu lắm xem cách tư_vấn ng mua hàng đừng nói_dối bán hàng j nghỉ đến quyền_lợi ng tiêu_dùng,1,2019-02-11,Negative,0,0,3
124,124,máy ngon xài ok tầm gia quá ok ngon hơn samsung chạy mượt chụp xóa_phông ok ưng_ý nhất sạc nhanh 30p 70 đi xa sạc gấp xài con quá chuẩn siêu tiết_kiệm pin thích 5,5,2020-04-21,Positive,4,1,1
125,125,máy mọi thứ tốt đáng tiền lưu_ý anh_em dùng thay cục sạc nhẹ hơn đỡ nóng máy trai pin nhé sạc nhanh 30w nóng lắm hãng nào,5,2020-05-22,Positive,1,1,0
126,126,máy tốt mở khóa khuôn_mặt hơi lâu đợi khoảng mấy giây chơi liên_quân dung_lượng pin 4030 mah 1 ngày ko ngày thứ hai camera tạm,4,2019-09-16,Neutral,0,3,1
127,127,tui mua ở thế_giới di_động tới 1tr4 sao giờ rẽ thếtui mua về máy yếu quá muốn đập thật pin cùi quá,2,2020-05-21,Negative,0,0,3
128,128,máy xài khỏi chê cảm_ứng vân tay nhạy bấm mấy lần mới,4,2019-09-14,Neutral,1,0,1
129,129,tệ bỏ gần 10 triệu nhận màn_hình lỗi cảm_ứng đa điểm chơi liên_quân quá tệ quá tệ ức_chế,1,2019-07-05,Negative,0,1,2
130,130,thật máy mượt mạnh camera đẹp nét màn_hình hiển_thị đẹp pin ko trâu lắm,5,2019-04-05,Positive,3,0,1
131,131,sản_phẩm mớithiết kế đẹp_mắt pin bao trâumực dù k sạc nhanh vô pin mau,5,2020-05-22,Positive,2,0,0
132,132,mua test mấy game nặng thấy ok cảm_biến vân tay k đc nhạy lắm,5,2019-06-22,Negative,0,1,1
133,133,máy xài khá ok bắt wifi quá tệ kh dùng quá lag vân tay quá tệ nhận_diện khuôn_mặt ok kh hài_lòng về bắt sóng wifi,2,2019-10-08,Positive,1,1,0
134,134,tuyệt_vời vsmart joy 3 pin trâu kinh_khủng_khiếp thiết_kế màn_hình 6t inch đẹp,5,2020-02-19,Positive,3,0,0
135,135,pin trâu game mượt cấu_hình ổn hiệu_năng tuyệt_vời camera đủ chức_năng khá ổn trong tầm giá mua vivo hơn oppo realme phân khúc,5,2020-08-08,Positive,5,1,0
